Player Name, Minutes Played, Games Played, PER, WS, WS48, OWS, DWS, BPM, OBPM, DBPM, VORP, Usage%, TS%, 3PA rate, FTA rate, ORB%, DRB%, TRB%, AST%, STL%, BLK%, TOV% 
Kyle Kuzma,1732,53,15.0,2.8,0.078,1.3,1.5,-1.3,0.1,-1.4,0.3,24.2,0.56,0.395,0.222,2.8,14.5,8.8,10.8,0.9,0.9,10.5
Jeremy Lamb,1544,54,16.5,3.4,0.107,2.1,1.4,-0.6,0.4,-1.0,0.5,22.4,0.544,0.322,0.249,3.3,17.9,10.5,11.1,1.7,0.9,6.5
Zach LaVine,1733,51,18.3,2.2,0.061,1.2,1.0,-0.2,1.4,-1.6,0.8,30.4,0.568,0.279,0.322,1.8,12.7,7.2,22.7,1.3,1.0,14.0
Jake Layman,840,46,15.8,2.4,0.138,1.7,0.7,0.9,1.6,-0.7,0.6,16.2,0.636,0.444,0.134,4.7,12.0,8.4,5.7,1.3,1.7,8.4
Alex Len,1031,54,16.3,1.6,0.076,0.9,0.8,-2.1,-1.5,-0.5,0.0,22.6,0.555,0.234,0.366,11.9,19.8,15.8,8.3,0.9,4.2,14.0
Kawhi Leonard,1495,43,26.1,7.2,0.23,4.8,2.4,5.3,4.5,0.8,2.8,29.8,0.607,0.262,0.409,4.3,19.3,11.9,15.7,2.6,1.0,8.6
Meyers Leonard,753,52,16.2,2.6,0.166,1.8,0.8,1.7,1.8,-0.1,0.7,15.1,0.676,0.472,0.208,5.9,22.2,14.2,11.8,0.8,1.0,13.8
Damian Lillard,1977,56,23.9,8.2,0.198,6.5,1.7,5.3,6.3,-1.1,3.6,30.1,0.592,0.402,0.347,2.4,10.9,6.7,29.2,1.6,1.1,11.2
Jeremy Lin,1028,52,15.9,2.0,0.091,1.5,0.5,-2.2,0.2,-2.4,-0.1,22.5,0.592,0.344,0.433,1.6,11.4,6.4,27.2,1.8,0.7,17.8
Shaun Livingston,690,45,12.5,1.5,0.105,0.9,0.6,-1.2,-1.8,0.6,0.1,13.0,0.536,0.012,0.261,5.0,8.7,6.9,15.5,1.7,2.8,12.4
Kevon Looney,1184,57,17.0,4.6,0.188,3.3,1.3,3.8,1.9,1.9,1.7,12.2,0.625,0.038,0.326,14.0,16.2,15.2,11.1,1.4,3.3,11.2
Brook Lopez,1588,57,14.1,4.5,0.135,1.5,3.0,2.5,-0.1,2.6,1.8,16.8,0.599,0.679,0.13,1.5,13.5,7.8,5.3,0.9,6.4,9.0
Robin Lopez,889,50,13.5,0.9,0.049,0.4,0.5,-2.3,-2.7,0.4,-0.1,18.4,0.581,0.071,0.216,8.6,10.1,9.3,8.2,0.5,4.7,17.2
Kyle Lowry,1615,47,16.9,5.0,0.148,3.0,2.0,3.0,2.8,0.2,2.0,19.3,0.559,0.605,0.271,2.0,11.8,7.0,36.5,1.9,1.3,17.7
Trey Lyles,1024,55,13.2,1.2,0.055,0.0,1.2,-3.3,-2.3,-1.0,-0.3,23.5,0.503,0.397,0.237,4.4,19.5,11.9,10.8,1.3,2.0,10.8
Shelvin Mack,1228,55,11.0,1.1,0.044,0.0,1.2,-3.7,-2.4,-1.4,-0.5,18.3,0.494,0.323,0.207,1.6,8.2,4.8,23.4,1.9,0.3,12.7
Lauri Markkanen,1131,35,17.1,1.9,0.082,0.8,1.1,-1.7,-0.3,-1.3,0.1,24.6,0.562,0.437,0.215,4.2,25.4,14.8,6.6,1.2,1.9,9.0
Wesley Matthews,1427,48,10.8,2.0,0.069,1.0,1.0,-1.4,-0.2,-1.2,0.2,18.5,0.542,0.56,0.238,1.7,6.8,4.3,11.6,1.2,0.8,9.9
CJ McCollum,1903,56,16.7,4.1,0.102,2.7,1.3,-0.3,1.7,-1.9,0.8,25.9,0.547,0.349,0.154,2.8,9.5,6.2,13.0,1.2,0.8,7.5
T.J. McConnell,1076,52,14.2,2.6,0.116,1.3,1.3,-0.7,-0.9,0.2,0.4,14.2,0.588,0.12,0.092,2.1,9.4,5.8,26.0,2.8,1.0,18.8
Doug McDermott,918,53,10.4,2.0,0.102,1.1,0.9,-2.1,-0.3,-1.8,0.0,15.3,0.606,0.558,0.201,1.2,7.2,4.3,6.5,0.6,0.6,8.7
JaVale McGee,1083,50,20.8,3.5,0.157,1.7,1.9,1.4,-1.4,2.8,0.9,20.0,0.616,0.02,0.256,11.7,20.7,16.3,5.0,1.3,7.2,13.7
Rodney McGruder,1290,51,9.0,1.4,0.052,0.2,1.3,-2.2,-1.9,-0.3,-0.1,15.9,0.507,0.48,0.133,3.6,12.1,7.9,11.1,1.1,0.5,12.3
Alfonzo McKinnie,678,48,11.2,1.3,0.094,0.8,0.5,-3.1,-0.8,-2.3,-0.2,14.6,0.563,0.408,0.158,10.1,16.4,13.4,3.6,0.7,1.2,9.5
De'Anthony Melton,675,33,9.6,-0.2,-0.012,-0.8,0.6,-2.4,-3.7,1.2,-0.1,16.3,0.45,0.399,0.093,2.6,11.9,7.2,22.7,3.6,2.1,21.5
